pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
glycerol-3-phosphate shuttle,HumanCyc,1,C00080,7 (9),0.171,0.925
CREB phosphorylation through the activation of Ras,Reactome,1,C00025,7 (7),0.171,0.925
mucin core 1 and core 2 <i>O</i>-glycosylation,HumanCyc,1,C00080,7 (8),0.171,0.925
dermatan sulfate biosynthesis,HumanCyc,1,C00080,7 (8),0.171,0.925
Desipramine Metabolism Pathway,SMPDB,1,C00080,7 (7),0.171,0.925
Mitochondrial biogenesis,Reactome,1,C00153,7 (8),0.171,0.925
oleate biosynthesis,HumanCyc,1,C00080,7 (7),0.171,0.925
Platelet calcium homeostasis,Reactome,1,C00080,7 (7),0.171,0.925
Signaling by TGF-beta family members,Reactome,1,C00153,7 (7),0.171,0.925
Mitochondrial iron-sulfur cluster biogenesis,Wikipathways,1,C00080,7 (13),0.171,0.925
NoRC negatively regulates rRNA expression,Wikipathways,1,C00033,7 (7),0.171,0.925
DNA Damage-Telomere Stress Induced Senescence,Wikipathways,1,C00080,7 (9),0.171,0.925
nicotine degradation III,HumanCyc,1,C00080,7 (23),0.171,0.925
Transcriptional regulation by RUNX3,Wikipathways,1,C00033,7 (7),0.171,0.925
PI3K-AKT-mTOR - VitD3 Signalling,Wikipathways,1,C00022,7 (8),0.171,0.925
Pentose and glucuronate interconversions - Homo sapiens (human),KEGG,3,C00266;C00022;C00433,55 (55),0.177,0.955
Signaling by Retinoic Acid,Wikipathways,2,C00022;C00080,29 (31),0.178,0.956
Biosynthesis of specialized proresolving mediators (SPMs),Reactome,2,C00025;C00080,29 (140),0.178,0.956
Methotrexate Action Pathway,SMPDB,2,C00025;C00080,29 (29),0.178,0.956
Purine salvage,Reactome,2,C05512;C00080,30 (31),0.187,0.976
Keratinization,Reactome,1,C00080,8 (9),0.193,0.976
COX reactions,Reactome,1,C00080,8 (8),0.193,0.976
trehalose degradation,HumanCyc,1,C00080,8 (8),0.193,0.976
eumelanin biosynthesis,HumanCyc,1,C00080,8 (9),0.193,0.976
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1_3_4)P3),HumanCyc,1,C00080,8 (8),0.193,0.976
Transferrin endocytosis and recycling,Reactome,1,C00080,8 (8),0.193,0.976
Conjugation of phenylacetate with glutamine,Reactome,1,C00064,8 (8),0.193,0.976
allopregnanolone biosynthesis,HumanCyc,1,C00080,8 (8),0.193,0.976
Influenza Life Cycle,Reactome,1,C00080,8 (9),0.193,0.976
estradiol biosynthesis II,HumanCyc,1,C00080,8 (8),0.193,0.976
Influenza Infection,Reactome,1,C00080,8 (9),0.193,0.976
D-<i>myo</i>-inositol (1_3_4)-trisphosphate biosynthesis,HumanCyc,1,C00080,8 (8),0.193,0.976
Sterols are 12-hydroxylated by CYP8B1,Reactome,1,C00080,8 (10),0.193,0.976
Hypusine synthesis from eIF5A-lysine,Reactome,1,C00080,8 (8),0.193,0.976
mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,Reactome,1,C00080,8 (11),0.193,0.976
glycine cleavage,HumanCyc,1,C00080,8 (8),0.193,0.976
Global Genome Nucleotide Excision Repair (GG-NER),Reactome,1,C00153,8 (8),0.193,0.976
3-phosphoinositide biosynthesis,HumanCyc,1,C00080,8 (11),0.193,0.976
D-<i>myo</i>-inositol (1_4_5)-trisphosphate biosynthesis,HumanCyc,1,C00080,8 (13),0.193,0.976
Mitochondrial Uncoupling Proteins,Reactome,1,C00080,8 (8),0.193,0.976
Collecting duct acid secretion - Homo sapiens (human),KEGG,1,C00080,8 (8),0.193,0.976
Cocaine addiction - Homo sapiens (human),KEGG,1,C00025,8 (8),0.193,0.976
Amine ligand-binding receptors,Reactome,1,C00388,8 (8),0.193,0.976
Erythrocytes take up oxygen and release carbon dioxide,Reactome,1,C00080,8 (8),0.193,0.976
Cysteine formation from homocysteine,Reactome,1,C00109,8 (9),0.193,0.976
Resolution of Abasic Sites (AP sites),Reactome,1,C00153,8 (8),0.193,0.976
lipoate biosynthesis and incorporation,HumanCyc,1,C00080,8 (8),0.193,0.976
Processing of DNA double-strand break ends,Reactome,1,C00153,8 (9),0.193,0.976
Cellular response to heat stress,Reactome,1,C00153,8 (9),0.193,0.976
Mtb iron assimilation by chelation,Reactome,1,C00080,8 (11),0.193,0.976
Glutamate binding_ activation of AMPA receptors and synaptic plasticity,Reactome,1,C00025,8 (8),0.193,0.976
L-dopachrome biosynthesis,HumanCyc,1,C00080,8 (8),0.193,0.976
Intracellular Signalling Through Histamine H2 Receptor and Histamine,SMPDB,1,C00388,8 (8),0.193,0.976
terminal <i>O</i>-glycans residues modification,HumanCyc,1,C00080,8 (9),0.193,0.976
methionine salvage,HumanCyc,1,C00080,8 (8),0.193,0.976
Prostaglandin formation from dihomo gama-linoleic acid,EHMN,1,C00080,8 (8),0.193,0.976
thyroid hormone metabolism II (via conjugation and/or degradation),HumanCyc,1,C00080,8 (22),0.193,0.976
PDGF Pathway,Wikipathways,1,C00080,8 (8),0.193,0.976
Erythrocytes take up oxygen and release carbon dioxide,Wikipathways,1,C00080,8 (8),0.193,0.976
Influenza Life Cycle,Wikipathways,1,C00080,8 (9),0.193,0.976
glycerol degradation,HumanCyc,1,C00080,8 (10),0.193,0.976
Formation of the cornified envelope,Reactome,1,C00080,8 (9),0.193,0.976
Resolution of Abasic Sites (AP sites),Wikipathways,1,C00153,8 (9),0.193,0.976
Cellular response to heat stress,Wikipathways,1,C00153,8 (9),0.193,0.976
Amyloid fiber formation,Wikipathways,1,C00033,8 (8),0.193,0.976
Fatty Acid Biosynthesis,Wikipathways,1,C00022,8 (9),0.193,0.976
Tolerance of reactive oxygen produced by macrophages,Reactome,1,C00080,8 (8),0.193,0.976
Cell redox homeostasis,Reactome,1,C00080,8 (8),0.193,0.976
Nucleotide Excision Repair,Reactome,1,C00153,8 (8),0.193,0.976
Keratinization,Wikipathways,1,C00080,8 (9),0.193,0.976
Pentose phosphate cycle,INOH,2,C00064;C00025,31 (31),0.197,0.994
Signaling by Nuclear Receptors,Reactome,2,C00022;C00080,32 (36),0.207,1
Phase II - Conjugation of compounds,Reactome,5,C00064;C14856;C01879;C00080;C00025,120 (148),0.21,1
Biological oxidations,Reactome,9,C05665;C00064;C05130;C00033;C00025;C14856;C00080;C01879;C00388,249 (321),0.211,1
Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives,Wikipathways,1,C00080,9 (27),0.214,1
GPCRs_ Class A Rhodopsin-like,Wikipathways,1,C00388,9 (10),0.214,1
Homology Directed Repair,Reactome,1,C00153,9 (10),0.214,1
HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA),Reactome,1,C00153,9 (10),0.214,1
HS-GAG biosynthesis,Reactome,1,C00033,9 (9),0.214,1
Glycine degradation,Reactome,1,C00080,9 (12),0.214,1
Biosynthesis of electrophilic ?-3 PUFA oxo-derivatives,Reactome,1,C00080,9 (27),0.214,1
EPHB-mediated forward signaling,Reactome,1,C00025,9 (9),0.214,1
EPH-Ephrin signaling,Reactome,1,C00025,9 (9),0.214,1
D-<i>myo</i>-inositol (1_4_5_6)-tetrakisphosphate biosynthesis,HumanCyc,1,C00080,9 (9),0.214,1
Long-term depression - Homo sapiens (human),KEGG,1,C00025,9 (9),0.214,1
Apelin signaling pathway - Homo sapiens (human),KEGG,1,C00080,9 (9),0.214,1
Vibrio cholerae infection - Homo sapiens (human),KEGG,1,C00080,9 (9),0.214,1
dolichol and dolichyl phosphate biosynthesis,HumanCyc,1,C00080,9 (10),0.214,1
glucocorticoid biosynthesis,HumanCyc,1,C00080,9 (9),0.214,1
Vitamin D (calciferol) metabolism,Reactome,1,C00080,9 (9),0.214,1
D-<i>myo</i>-inositol (3_4_5_6)-tetrakisphosphate biosynthesis,HumanCyc,1,C00080,9 (9),0.214,1
pentose phosphate pathway (oxidative branch),HumanCyc,1,C00080,9 (9),0.214,1
phosphatidylcholine biosynthesis,HumanCyc,1,C00080,9 (12),0.214,1
propionyl-CoA degradation,HumanCyc,1,C00080,9 (9),0.214,1
Regulation of TP53 Activity through Acetylation,Reactome,1,C00033,9 (9),0.214,1
diphthamide biosynthesis,HumanCyc,1,C00080,9 (9),0.214,1
Post NMDA receptor activation events,Reactome,1,C00025,9 (9),0.214,1
Rosiglitazone Metabolism Pathway,SMPDB,1,C00080,9 (10),0.214,1
Phenylacetate Metabolism,SMPDB,1,C00064,9 (9),0.214,1
fatty acid biosynthesis initiation,HumanCyc,1,C00080,9 (9),0.214,1
Nucleotide Excision Repair,Wikipathways,1,C00153,9 (9),0.214,1
phosphatidylethanolamine biosynthesis II,HumanCyc,1,C00080,9 (12),0.214,1
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),Wikipathways,1,C00153,9 (10),0.214,1
Regulation of TP53 Activity through Acetylation,Wikipathways,1,C00033,9 (9),0.214,1
Metabolism of vitamin K,Wikipathways,1,C00080,9 (11),0.214,1
Fructose Mannose metabolism,INOH,2,C00064;C00025,33 (33),0.216,1
Organic cation/anion/zwitterion transport,Reactome,2,C00388;C00080,33 (36),0.216,1
Class A-1 (Rhodopsin-like receptors),Wikipathways,4,C00033;C00163;C00388;C00080,92 (104),0.225,1
Ion influx/efflux at host-pathogen interface,Reactome,1,C00080,10 (11),0.235,1
Negative epigenetic regulation of rRNA expression,Reactome,1,C00153,10 (12),0.235,1
Formation of the active cofactor_ UDP-glucuronate,Reactome,1,C00080,10 (10),0.235,1
phenylalanine degradation/tyrosine biosynthesis,HumanCyc,1,C00080,10 (11),0.235,1
Fructose biosynthesis,Reactome,1,C00080,10 (10),0.235,1
1_25-dihydroxyvitamin D<sub>3</sub> biosynthesis,HumanCyc,1,C00080,10 (10),0.235,1
Vitamin C (ascorbate) metabolism,Reactome,1,C00080,10 (12),0.235,1
Protein repair,Reactome,1,C00049,10 (13),0.235,1
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,Reactome,1,C00080,10 (10),0.235,1
Uptake and actions of bacterial toxins,Reactome,1,C00153,10 (11),0.235,1
O2/CO2 exchange in erythrocytes,Reactome,1,C00080,10 (11),0.235,1
Ion homeostasis,Reactome,1,C00080,10 (10),0.235,1
Pregnenolone biosynthesis,Reactome,1,C00080,10 (13),0.235,1
Amyotrophic lateral sclerosis (ALS) - Homo sapiens (human),KEGG,1,C00025,10 (10),0.235,1
Alcoholism - Homo sapiens (human),KEGG,1,C00025,10 (10),0.235,1
Amphetamine addiction - Homo sapiens (human),KEGG,1,C00025,10 (10),0.235,1
Estrogen biosynthesis,Reactome,1,C00080,10 (10),0.235,1
Cardiac conduction,Reactome,1,C00080,10 (10),0.235,1
Muscle contraction,Reactome,1,C00080,10 (10),0.235,1
TP53 Regulates Transcription of Cell Death Genes,Reactome,1,C00080,10 (10),0.235,1
D-galactose degradation V (Leloir pathway),HumanCyc,1,C00080,10 (11),0.235,1
mineralocorticoid biosynthesis,HumanCyc,1,C00080,10 (10),0.235,1
PTEN Regulation,Reactome,1,C00153,10 (11),0.235,1
Erythrocytes take up carbon dioxide and release oxygen,Reactome,1,C00080,10 (11),0.235,1
phenylethylamine degradation I,HumanCyc,1,C00080,10 (10),0.235,1
Cholesterol biosynthesis via desmosterol,Reactome,1,C00080,10 (10),0.235,1
ascorbate recycling (cytosolic),HumanCyc,1,C00080,10 (10),0.235,1
Cholesterol biosynthesis via lathosterol,Reactome,1,C00080,10 (10),0.235,1
Degradation of Superoxides,SMPDB,1,C00080,10 (10),0.235,1
palmitate biosynthesis,HumanCyc,1,C00080,10 (10),0.235,1
Doxepin Metabolism Pathway,SMPDB,1,C00080,10 (10),0.235,1
Celecoxib Metabolism Pathway,SMPDB,1,C00080,10 (11),0.235,1
3-oxo-10R-octadecatrienoate beta-oxidation,EHMN,1,C00080,10 (10),0.235,1
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation,EHMN,1,C00080,10 (10),0.235,1
Trihydroxycoprostanoyl-CoA beta-oxidation,EHMN,1,C00080,10 (10),0.235,1
Vitamin B12 (cyanocobalamin) metabolism,EHMN,1,C00080,10 (10),0.235,1
Erythrocytes take up carbon dioxide and release oxygen,Wikipathways,1,C00080,10 (11),0.235,1
Amyotrophic lateral sclerosis (ALS),Wikipathways,1,C00025,10 (11),0.235,1
HIF1A and PPARG regulation of glycolysis,Wikipathways,1,C00022,10 (10),0.235,1
Differentiation Pathway,Wikipathways,1,C00153,10 (13),0.235,1
Vitamin D (calciferol) metabolism,Wikipathways,1,C00080,10 (10),0.235,1
TP53 Regulates Transcription of Cell Death Genes,Wikipathways,1,C00080,10 (10),0.235,1
Cannabinoid receptor signaling,Wikipathways,1,C00025,10 (20),0.235,1
PTEN Regulation,Wikipathways,1,C00153,10 (11),0.235,1
molybdenum cofactor biosynthesis,HumanCyc,1,C00080,10 (13),0.235,1
Pentose phosphate pathway - Homo sapiens (human),KEGG,2,C00022;C00258,35 (35),0.236,1
Pathways in cancer - Homo sapiens (human),KEGG,2,C01471;C00122,35 (35),0.236,1
Phenylalanine_ tyrosine and tryptophan biosynthesis - Homo sapiens (human),KEGG,2,C00074;C02637,35 (35),0.236,1
Inflammatory mediator regulation of TRP channels - Homo sapiens (human),KEGG,2,C00388;C00080,36 (36),0.246,1
Glycerolipid metabolism - Homo sapiens (human),KEGG,2,C00969;C00258,36 (36),0.246,1
Glycosaminoglycan metabolism,Wikipathways,2,C00033;C00080,36 (58),0.246,1
Signal Transduction,Reactome,8,C00077;C00163;C00388;C00033;C00022;C00153;C00025;C00080,228 (271),0.254,1
PAOs oxidise polyamines to amines,Reactome,1,C05665,11 (11),0.255,1
GDP-glucose biosynthesis II,HumanCyc,1,C00080,11 (11),0.255,1
Clomipramine Metabolism Pathway,SMPDB,1,C00080,11 (11),0.255,1
sucrose degradation,HumanCyc,1,C00080,11 (13),0.255,1
Interconversion of 2-oxoglutarate and 2-hydroxyglutarate,Reactome,1,C00232,11 (11),0.255,1
Eicosanoids,Reactome,1,C00080,11 (13),0.255,1
Vitamins,Reactome,1,C00080,11 (13),0.255,1
Biosynthesis of E-series 18(S)-resolvins,Reactome,1,C00080,11 (19),0.255,1
tetrapyrrole biosynthesis,HumanCyc,1,C00080,11 (11),0.255,1
urate biosynthesis/inosine 5_-phosphate degradation,HumanCyc,1,C00080,11 (11),0.255,1
Fc epsilon RI signaling pathway - Homo sapiens (human),KEGG,1,C00388,11 (11),0.255,1
taurine biosynthesis,HumanCyc,1,C00080,11 (11),0.255,1
Sulfur relay system - Homo sapiens (human),KEGG,1,C00979,11 (11),0.255,1
Gap junction - Homo sapiens (human),KEGG,1,C00025,11 (11),0.255,1
Circadian entrainment - Homo sapiens (human),KEGG,1,C00025,11 (11),0.255,1
superpathway of D-<i>myo</i>-inositol (1_4_5)-trisphosphate metabolism,HumanCyc,1,C00080,11 (11),0.255,1
Adrenergic signaling in cardiomyocytes - Homo sapiens (human),KEGG,1,C00080,11 (11),0.255,1
Thyroid hormone signaling pathway - Homo sapiens (human),KEGG,1,C00080,11 (11),0.255,1
Folate-Alcohol and Cancer Pathway Hypotheses,Wikipathways,1,C00033,11 (12),0.255,1
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian),HumanCyc,1,C00080,11 (11),0.255,1
purine deoxyribonucleosides salvage,HumanCyc,1,C00080,11 (11),0.255,1
Metabolism of serotonin,Reactome,1,C00080,11 (11),0.255,1
formaldehyde oxidation,HumanCyc,1,C00080,11 (11),0.255,1
The retinoid cycle in cones (daylight vision),Reactome,1,C00080,11 (11),0.255,1
Plasmalogen biosynthesis,Reactome,1,C00080,11 (12),0.255,1
superoxide radicals degradation,HumanCyc,1,C00080,11 (11),0.255,1
glycine betaine degradation,HumanCyc,1,C00065,11 (11),0.255,1
Activation of NMDA receptor and postsynaptic events,Reactome,1,C00025,11 (11),0.255,1
tetrahydrobiopterin <i>de novo</i> biosynthesis,HumanCyc,1,C00080,11 (11),0.255,1
Ibuprofen Metabolism Pathway,SMPDB,1,C00080,11 (11),0.255,1
epoxysqualene biosynthesis,HumanCyc,1,C00080,11 (11),0.255,1
Imipramine Metabolism Pathway,SMPDB,1,C00080,11 (11),0.255,1
Vitamin B1 (thiamin) metabolism,EHMN,1,C00080,11 (11),0.255,1
Vitamin H (biotin) metabolism,EHMN,1,C00080,11 (11),0.255,1
Effects of PIP2 hydrolysis,Wikipathways,1,C00080,11 (13),0.255,1
biotin-carboxyl carrier protein assembly,HumanCyc,1,C00080,11 (11),0.255,1
heme biosynthesis from uroporphyrinogen-III I,HumanCyc,1,C00080,11 (11),0.255,1
TCF dependent signaling in response to WNT,Reactome,1,C00153,11 (11),0.255,1
TCF dependent signaling in response to WNT,Wikipathways,1,C00153,11 (12),0.255,1
Wax biosynthesis,Reactome,1,C00080,11 (12),0.255,1
Plasmalogen biosynthesis,Wikipathways,1,C00080,11 (12),0.255,1
glutaryl-CoA degradation,HumanCyc,1,C00080,12 (12),0.275,1
Stimuli-sensing channels,Reactome,1,C00080,12 (13),0.275,1
FMO oxidises nucleophiles,Reactome,1,C00080,12 (13),0.275,1
HS-GAG degradation,Reactome,1,C00049,12 (23),0.275,1
Reproduction,Reactome,1,C00080,12 (12),0.275,1
Methionine salvage pathway,Reactome,1,C00080,12 (19),0.275,1
Fatty acids,Reactome,1,C00080,12 (14),0.275,1
Miscellaneous substrates,Reactome,1,C00080,12 (15),0.275,1
guanosine nucleotides degradation,HumanCyc,1,C00080,12 (12),0.275,1
Cholinergic synapse - Homo sapiens (human),KEGG,1,C00033,12 (12),0.275,1
heme degradation,HumanCyc,1,C00080,12 (12),0.275,1
Effects of PIP2 hydrolysis,Reactome,1,C00080,12 (13),0.275,1
RHO GTPases Activate NADPH Oxidases,Reactome,1,C00080,12 (12),0.275,1
adenine and adenosine salvage III,HumanCyc,1,C00080,12 (12),0.275,1
spermine and spermidine degradation I,HumanCyc,1,C00080,12 (13),0.275,1
D-glucuronate degradation,HumanCyc,1,C00080,12 (12),0.275,1
phytol degradation,HumanCyc,1,C00080,12 (14),0.275,1
Tramadol Metabolism Pathway,SMPDB,1,C00080,12 (12),0.275,1
Lipoate metabolism,EHMN,1,C00080,12 (12),0.275,1
Mono-unsaturated fatty acid beta-oxidation,EHMN,1,C00080,12 (12),0.275,1
Vitamin D3 (cholecalciferol) metabolism,EHMN,1,C00080,12 (12),0.275,1
Electron Transport Chain (OXPHOS system in mitochondria),Wikipathways,1,C00080,12 (12),0.275,1
Mitochondrial biogenesis,Wikipathways,1,C00153,12 (14),0.275,1
RHO GTPases Activate NADPH Oxidases,Wikipathways,1,C00080,12 (12),0.275,1
DNA Double Strand Break Response,Wikipathways,1,C00080,12 (14),0.275,1
Synthesis of wybutosine at G37 of tRNA(Phe),Wikipathways,1,C00022,12 (14),0.275,1
NAD+ biosynthetic pathways,Wikipathways,1,C00153,12 (13),0.275,1
NO-cGMP-PKG mediated Neuroprotection,Wikipathways,1,C00025,12 (16),0.275,1
Peroxisomal lipid metabolism,Reactome,2,C00033;C00080,39 (60),0.276,1
Vitamin digestion and absorption - Homo sapiens (human),KEGG,2,C00153;C00080,39 (39),0.276,1
Purine metabolism,Wikipathways,2,C05512;C00025,39 (42),0.276,1
Peroxisomal lipid metabolism,Wikipathways,2,C00033;C00080,40 (61),0.286,1
Synthesis of wybutosine at G37 of tRNA(Phe),Reactome,1,C00022,13 (15),0.294,1
Synthesis of Lipoxins (LX),Wikipathways,1,C00080,13 (18),0.294,1
UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis II,HumanCyc,1,C00080,13 (16),0.294,1
tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,HumanCyc,1,C00080,13 (13),0.294,1
DNA Double-Strand Break Repair,Reactome,1,C00153,13 (14),0.294,1
Synthesis of 5-eicosatetraenoic acids,Reactome,1,C00080,13 (15),0.294,1
Signaling by Insulin receptor,Reactome,1,C00080,13 (13),0.294,1
Interconversion of polyamines,Reactome,1,C05665,13 (13),0.294,1
Beta oxidation of myristoyl-CoA to lauroyl-CoA,Reactome,1,C00080,13 (13),0.294,1
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Reactome,1,C00080,13 (13),0.294,1
Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Reactome,1,C00080,13 (13),0.294,1
Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Reactome,1,C00080,13 (13),0.294,1
Respiratory electron transport,Reactome,1,C00080,13 (15),0.294,1
Synthesis of Lipoxins (LX),Reactome,1,C00080,13 (18),0.294,1
adenosine nucleotides degradation,HumanCyc,1,C00080,13 (13),0.294,1
Insulin secretion - Homo sapiens (human),KEGG,1,C00022,13 (13),0.294,1
Glucocorticoid biosynthesis,Reactome,1,C00080,13 (14),0.294,1
Phospholipase D signaling pathway - Homo sapiens (human),KEGG,1,C00025,13 (13),0.294,1
GDP-fucose biosynthesis,Reactome,1,C00080,13 (15),0.294,1
estradiol biosynthesis I,HumanCyc,1,C00080,13 (13),0.294,1
Beta oxidation of palmitoyl-CoA to myristoyl-CoA,Reactome,1,C00080,13 (13),0.294,1
Serotonin clearance from the synaptic cleft,Reactome,1,C00080,13 (13),0.294,1
Regulation of TP53 Activity,Reactome,1,C00033,13 (13),0.294,1
Fc Epsilon Receptor I Signaling in Mast Cells,SMPDB,1,C00388,13 (13),0.294,1
Vitamin K Metabolism,SMPDB,1,C00163,13 (13),0.294,1
Thyroid hormone synthesis,SMPDB,1,C02218,13 (13),0.294,1
Nevirapine Metabolism Pathway,SMPDB,1,C00080,13 (13),0.294,1
Succinyl CoA: 3-ketoacid CoA transferase deficiency,SMPDB,1,C00164,13 (13),0.294,1
Ketone Body Metabolism,SMPDB,1,C00164,13 (13),0.294,1
Vitamin C metabolism,EHMN,1,C00080,13 (13),0.294,1
CDP-diacylglycerol biosynthesis,HumanCyc,1,C00080,13 (19),0.294,1
ubiquinol-10 biosynthesis,HumanCyc,1,C00080,13 (21),0.294,1
coenzyme A biosynthesis,HumanCyc,1,C00080,13 (13),0.294,1
Organelle biogenesis and maintenance,Reactome,1,C00153,13 (14),0.294,1
Cholesterol biosynthesis,Reactome,2,C00418;C00080,41 (46),0.295,1
Nucleobase biosynthesis,Wikipathways,2,C00087;C00080,41 (47),0.295,1
Cellular responses to stress,Reactome,2,C00153;C00080,42 (48),0.305,1
Class C/3 (Metabotropic glutamate/pheromone receptors),Reactome,2,C00077;C00025,42 (54),0.305,1
Squalene and cholesterol biosynthesis,EHMN,2,C00418;C00080,42 (42),0.305,1
Cholesterol biosynthesis,Wikipathways,2,C00418;C00080,42 (47),0.305,1
GPCR downstream signalling,Reactome,6,C00077;C00163;C00388;C00033;C00025;C00080,173 (209),0.307,1
Glucuronidation,Wikipathways,1,C00080,14 (14),0.313,1
eicosapentaenoate biosynthesis,HumanCyc,1,C00080,14 (17),0.313,1
Ion transport by P-type ATPases,Reactome,1,C00080,14 (17),0.313,1
Conjugation of carboxylic acids,Reactome,1,C00064,14 (15),0.313,1
Amino Acid conjugation,Reactome,1,C00064,14 (15),0.313,1
Sulfide oxidation to sulfate,Reactome,1,C00080,14 (15),0.313,1
Regulation of pyruvate dehydrogenase (PDH) complex,Reactome,1,C00022,14 (14),0.313,1
Beta oxidation of butanoyl-CoA to acetyl-CoA,Reactome,1,C00080,14 (14),0.313,1
nicotine degradation IV,HumanCyc,1,C00080,14 (28),0.313,1
Hepatocellular carcinoma - Homo sapiens (human),KEGG,1,C01471,14 (14),0.313,1
Mineralocorticoid biosynthesis,Reactome,1,C00080,14 (15),0.313,1
Molybdenum cofactor biosynthesis,Reactome,1,C00080,14 (20),0.313,1
Axon guidance,Reactome,1,C00025,14 (15),0.313,1
purine ribonucleosides degradation to ribose-1-phosphate,HumanCyc,1,C00080,14 (15),0.313,1
androgen biosynthesis,HumanCyc,1,C00080,14 (15),0.313,1
Phenylalanine degradation,INOH,1,C00025,14 (14),0.313,1
pentose phosphate pathway,HumanCyc,1,C00080,14 (16),0.313,1
Heroin Action Pathway,SMPDB,1,C00033,14 (14),0.313,1
pyridoxal 5_-phosphate salvage,HumanCyc,1,C00080,14 (14),0.313,1
Vitamin B2 (riboflavin) metabolism,EHMN,1,C00080,14 (14),0.313,1
Cholesterol Biosynthesis Pathway,Wikipathways,1,C00418,14 (14),0.313,1
ROS_ RNS production in phagocytes,Wikipathways,1,C00080,14 (19),0.313,1
Wax biosynthesis,Wikipathways,1,C00080,14 (15),0.313,1
Formation of xylulose-5-phosphate,Wikipathways,1,C00080,14 (16),0.313,1
superpathway of cholesterol biosynthesis,HumanCyc,2,C00418;C00080,43 (62),0.315,1
Signaling by GPCR,Reactome,6,C00077;C00163;C00388;C00033;C00025;C00080,176 (213),0.321,1
Infectious disease,Reactome,2,C00153;C00080,44 (55),0.325,1
Thiamine metabolic pathways,Wikipathways,1,C00022,15 (21),0.331,1
Biosynthesis of EPA-derived SPMs,Wikipathways,1,C00080,15 (27),0.331,1
serotonin degradation,HumanCyc,1,C00080,15 (20),0.331,1
Toll-Like Receptors Cascades,Reactome,1,C00080,15 (29),0.331,1
Synthesis of 15-eicosatetraenoic acid derivatives,Reactome,1,C00080,15 (16),0.331,1
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),Reactome,1,C00080,15 (15),0.331,1
Serotonin and melatonin biosynthesis,Reactome,1,C00080,15 (15),0.331,1
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Reactome,1,C00080,15 (15),0.331,1
Chromatin modifying enzymes,Reactome,1,C00033,15 (16),0.331,1
Biosynthesis of EPA-derived SPMs,Reactome,1,C00080,15 (27),0.331,1
tryptophan degradation X (mammalian_ via tryptamine),HumanCyc,1,C00080,15 (15),0.331,1
HIF-1 signaling pathway - Homo sapiens (human),KEGG,1,C00022,15 (15),0.331,1
Ubiquinol biosynthesis,Reactome,1,C00080,15 (22),0.331,1
Antigen processing-Cross presentation,Reactome,1,C00080,15 (18),0.331,1
Chromatin organization,Reactome,1,C00033,15 (16),0.331,1
serotonin and melatonin biosynthesis,HumanCyc,1,C00080,15 (15),0.331,1
Sphingolipid pathway,Wikipathways,1,C00065,15 (16),0.331,1
Catabolism of glucuronate to xylulose-5-phosphate,Reactome,1,C00080,15 (16),0.331,1
Melanin biosynthesis,Wikipathways,1,C00080,15 (23),0.331,1
Chromatin organization,Wikipathways,1,C00033,15 (16),0.331,1
Terpenoid backbone biosynthesis - Homo sapiens (human),KEGG,2,C00022;C00418,45 (45),0.335,1
Biosynthesis of DHA-derived SPMs,Wikipathways,1,C00080,16 (72),0.349,1
Heme Biosynthesis,Wikipathways,1,C00080,16 (16),0.349,1
RA biosynthesis pathway,Reactome,1,C00080,16 (17),0.349,1
Synthesis of glycosylphosphatidylinositol (GPI),Reactome,1,C00033,16 (18),0.349,1
zymosterol biosynthesis,HumanCyc,1,C00080,16 (22),0.349,1
Selenocysteine synthesis,Reactome,1,C00080,16 (20),0.349,1
CYP2E1 reactions,Reactome,1,C00080,16 (19),0.349,1
Antimicrobial peptides,Reactome,1,C00080,16 (23),0.349,1
Abacavir metabolism,Reactome,1,C00080,16 (23),0.349,1
Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Reactome,1,C00080,16 (18),0.349,1
Sphingolipid signaling pathway - Homo sapiens (human),KEGG,1,C00065,16 (16),0.349,1
Tolerance by Mtb to nitric oxide produced by macrophages,Reactome,1,C00080,16 (22),0.349,1
Porphyrin metabolism,INOH,1,C00080,16 (16),0.349,1
catecholamine biosynthesis,HumanCyc,1,C00080,16 (16),0.349,1
Desipramine Action Pathway,SMPDB,1,C00080,16 (16),0.349,1
Omega-3 fatty acid metabolism,EHMN,1,C00080,16 (16),0.349,1
